model_name,accuracy,macro_f1,duration
Dummy Model,0.17777777777777778,0.010409889394925178,0.1
LinearSVC,0.8885521885521885,0.7239391643332695,5.838170766830444
Logistic Regression,0.8747474747474747,0.7105034437843673,6.214108467102051
Ensemble Model,0.8902356902356903,0.7248345281036938,10.69041132926941
